empty_slots,free_bikes,id,latitude,longitude,name
8,6,0459b7e93703980b853cd65a9dc60596,49.273777,-123.092723,Thornton & National
13,15,a21f40838346e300063bdda3c5c04105,49.265005,-123.079481,Keith & 6th
10,4,6b1622540fe5c85d365754dd8c20bf0c,49.271377,-123.069416,Grant & Commercial
19,3,ebc551adb0fc1a684f4080e4954a9ba4,49.268616,-123.069908,2nd & Commercial
14,0,6eaa02e5bcf78db5386683d38fa2dabd,49.266969,-123.069936,4th & Commercial
16,4,983e58671adcc67af94457d7887dbb15,49.263242,-123.070521,8th & Commercial
17,8,797ff1725f8d2b18337de51e240ff60d,49.261403,-123.070102,10th & Commercial
8,6,277b4b4881bdb7dac73012672179def8,49.261263,-123.073707,Woodland & 10th
1,17,e1ff428dadc7c32141b9d89a7b56728a,49.262242,-123.081459,Glen & Broadway
10,3,012d3e06901cc222b1c2cf0a2ace3a29,49.262321,-123.09306,St George & Broadway
1,11,a6455af6b689bcbad07ae2c8a3419b50,49.264251,-123.073853,7th & Woodland
3,11,475627e149c1a6ba73caac8d8d2fa617,49.266751,-123.073501,Woodland & 4th
6,6,f387ec226c432c5c054e3d3616d90501,49.270684,-123.073562,Woodland & Graveley
5,8,1675a77b9af656faf527b4e6de53e63b,49.2731,-123.0732,Charles & Woodland
13,2,1bca0e944a4faf170db82793414b03ab,49.254667,-123.101389,18th & Main
5,9,d0782213f003ce9eb276fbceff44f1f4,49.256694,-123.096579,Prince Edward & 16th
9,4,1ef01f2f89621d51afbabaa6296e55be,49.258352,-123.096337,Prince Edward & 14th
7,9,c47a1f62ea461ce1c9f3e2478c657df6,49.258817,-123.092797,13th & St George
5,9,0cee06d7d10f7d3162cea03d22b7beed,49.26151,-123.089413,10th & Fraser
11,5,f62bc2bfe9a0a563d5b6745ce6d962ba,49.263382,-123.088837,8th & Fraser
6,6,1c8f7fd6535db12cc45cfc59aa9da058,49.261353,-123.085333,St Catherines & 10th
